#domain,#severity,#reject_media,#reject_reports,#public_comment,#obfuscate
10minutepleroma.com,suspend,false,false,"Spam, potential for abuse",false
activism.openworlds.info,suspend,false,false,"Federates with instances that violate our CoC/ToS, such as Gab, Kiwifarms, etc., harassment, doxing",false
akko.disqordia.space,suspend,false,false,"racism, channer stuff",false
akko.saturno.black,suspend,false,false,"Racism, fash, harassment",false
arachnid.town,suspend,false,false,Homophobia from the admin accounts,false
archivefedifor.fun,suspend,false,false,Scraping,false
a.sc,suspend,false,false,"Extreme racism, fascism",false
bae.st,suspend,false,false,4chan qanon stuff,false
bajax.us,suspend,false,false,"abuse, harrassment",false
baraag.net,suspend,false,false,hosting pedophilia,false
beefyboys.club,suspend,false,false,"Neo-nazis, harassment",false
berserker.town,suspend,false,false,"Federating with 'free speech' instances, hosting ableist, transphobic, fascist content",false
*.bigguys.club,suspend,false,false,"Neo-nazis, harassment",false
bikeshed.party,suspend,false,false,"Harassment, federating with Gab, etc.",false
blob.cat,suspend,false,false,"freespeechextremist.com association, federating with Kiwifarms",false
busshi.moe,suspend,false,false,Allows lolicon,false
cachapa.moe,suspend,false,false,Racism,false
carnivore.social,suspend,false,false,"Conspiracies, MAGA / truthsocial crowd",false
carrot.army,suspend,false,false,Trolling,false
chudbuds.lol,suspend,false,false,kiwifarms,false
chungus.cc,suspend,false,false,"ableism, transphobia, racism, slurs",false
cliterati.club,suspend,false,false,TERF instance,false
cock.li,suspend,false,false,"Racism, fascism, harassment, trolling, etc.",false
community.halle-leaks.de,suspend,false,false,"Nazi/far-right rhetoric, xenophobia",false
coom.club,suspend,false,false,"Associating with Gab, antisemitism, ableism, etc.",false
crucible.world,suspend,false,false,Transphobia,false
crypto-group-buy.com,suspend,false,false,Spam,false
cum.camp,suspend,false,false,"harassment, bigotry",false
cum.desupost.soy,suspend,false,false,"Ableism, racism, transmisia",false
cum.salon,suspend,false,false,"uncensored porn, slurs",false
daishouri.moe,suspend,false,false,Nazis,false
deepnexus.link,suspend,false,false,"Admin is a 'free speech' supporter, conspiracy theories, antivax, etc.",false
definitely-not-archivefedifor.fun,suspend,false,false,Scraping,false
detroitriotcity.com,suspend,false,false,"racism, homophobia, etc",false
develop.gab.com,suspend,false,false,Trump's network,false
d-fens.systems,suspend,false,false,kiwifarms,false
dickkickextremist.xyz,suspend,false,false,"Federates with instances that violate our CoC/ToS such as Gab, etc.",false
djsumdog.com,suspend,false,false,"Antivax, harassment",false
dlf.social,suspend,false,false,Paedophilia,false
eveningzoo.club,suspend,false,false,"free speech, conspiracy theory, racism, antisemitism, fascism",false
fedi.absturztau.be,suspend,false,false,"freespeechextremist.com association, federating with Kiwifarms",false
fedi.app,suspend,false,false,Data mining instance,false
fedicy.allowed.org,suspend,false,false,"Holocaust denial, misogyny, fascist ideology/symbolism",false
fedi.intkos.link,suspend,false,false,"Free speech, antisemitism",false
fedi.pawlicker.com,suspend,false,false,"transphobia, racism, kiwifarms, loli, conspiracy theories",false
fightbig.tech,suspend,false,false,"Free speech instance, far-right ideology",false
fr13nd5.com,suspend,false,false,Federates with the usual suspects,false
dev.brighteon.social,suspend,false,false,Disinformation ,false
freeatlantis.com,suspend,false,false,"ableism, nationalism, right-wing rhetoric and conspiracy theories",false
freecumextremist.com,suspend,false,false,Alt kiwifarms instance,false
freespeechextremist.com,suspend,false,false,Hate speech,false
freespeech.firedragonstudios.com,suspend,false,false,"Free speech instance, little to no moderation oversight, lack of CoC",false
freespeech.group,suspend,false,false,"Alt-right rhetoric, conspiracies, etc",false
freespeech.host,suspend,false,false,"Free speech instance, federates with Gab, Kiwifarms",false
freewahaextremist.wtf,suspend,false,false,"Ableism, racism, transmisia",false
froth.zone,suspend,false,false,Federates with the usual suspects,false
fwedivewse.vfpmedia.com,suspend,false,false,"transphobia, antisemitism",false
gameliberty.club,suspend,false,false,Racism,false
gearlandia.haus,suspend,false,false,"Transphobia, racism",false
gecekafasi.com,suspend,false,false,"Harassment, no CoC/Moderation Policy",false
geofront.rocks,suspend,false,false,"Racism, slurs",false
getindor.com,suspend,false,false,racism,false
ghetti.monster,suspend,false,false,Antisemitism,false
gitmo.life,suspend,false,false,"Alt-right rhetoric, conspiracy theories, zenophobia",false
gleasonator.com,suspend,false,false,"TERF instance, admin created spinster.xyz",false
glindr.org,suspend,false,false,Transphobia,false
goyim.app,suspend,false,false,"racism, ableism, transphobia, nazi content",false
goyslop.cafe,suspend,false,false,Racism,false
hagra.net,suspend,false,false,"Racism, harassment",false
hallsofamenti.io,suspend,false,false,Transphobia,false
hitchhiker.social,suspend,false,false,"Antivax, harassment",false
honkwerx.tech,suspend,false,false,"transphobia, racism",false
hunk.city,suspend,false,false,Spamming,false
husk.site,suspend,false,false,"Associating with instances we've banned for harassment, trolling, and other offences",false
kurosawa.moe,suspend,false,false,"loli, racism, slurs, channer",false
lain.sh,suspend,false,false,"Racism, harassment",false
lanuevebastarda.es,suspend,false,false,"Hate speech, abuse, harassment",false
leafposter.club,suspend,false,false,"Free speech, racism, harassment",false
lets.bemoe.online,suspend,false,false,"freespeechextremist.com association, federating with Kiwifarms",false
liberdon.com,suspend,false,false,"Harassment and toxic behaviour from users, parler/gab associations",false
liveview.cf,suspend,false,false,"Homophobic slurs, abusive behaviour by instance Admin toward users of other instances",false
loli.estate,suspend,false,false,loli,false
lolison.top,suspend,false,false,loli,false
magicalmirro.red,suspend,false,false,Federates with alt-right/fash/etc. instances,false
marsey.club,suspend,false,false,racism,false
masochi.st,suspend,false,false,"harassment, white supremacy",false
mastodon.bgzashtita.es,suspend,false,false,"Threats of violence, harassment",false
mastodon.cf,suspend,false,false,Uncensored porn & hosting pedophilia,false
md.kakise.tech,suspend,false,false,Transphobia,false
iddqd.social,suspend,false,false,"No CoC or ToS, interacts with known Nazi affiliated instances",false
jaeger.website,suspend,false,false,"Transphobia, harassment",false
jpop.club,suspend,false,false,"Trolling, abusive behaviour",false
juche.town,suspend,false,false,"Harassment, Gab supporters, values inconsistent with ART's CoC",false
kisslolis.com,suspend,false,false,loli,false
kiwifarms.cc,suspend,false,false,"Transphobia, doxxing, harassment",false
kiwifarms.is,suspend,false,false,"Transphobia, doxxing, harassment",false
kiwifarms.net,suspend,false,false,"Transphobia, doxxing, harassment",false
kissl*lis.com,suspend,false,false,loli,false
micca.xyz,suspend,false,false,Trolling + harassment,false
mk.disqordia.space,suspend,false,false,racism + channer stuff,false
monads.online,suspend,false,false,Racism + harassment,false
mstdn.foxfam.club,suspend,false,false,Alt-right + islamaphobia + xenophobia,false
mstdn.starnix.network,suspend,false,false,4chan nonsense,false
mugicha.club,suspend,false,false,Racism,false
musksocial.com,suspend,false,false,Free speech,false
mu.zaitcev.nu,suspend,false,false,Federating with Gab + transphobia,false
nazi.social,suspend,false,false,Self-explanatory; nazism,false
neckbeard.xyz,suspend,false,false,Lolicon + abusive behaviour,false
neenster.org,suspend,false,false,Gab-fork + spin off of TERF instance spinster.xyz + admin is a moderator of spinster.xyz,false
nicecrew.digital,suspend,false,false,racism + homophobia,false
nnia.space,suspend,false,false,'Free speech,false
noagendasocial.com,suspend,false,false,'Free speech',false
onion.social,suspend,false,false,free speech + conspiracy theory + etc,false
outpoa.st,suspend,false,false,Free speech + hate speech + racism,false
pasta.wtf,suspend,false,false,Racism,false
pawoo.net,suspend,false,false,hosting pedophilia,false
paypig.org,suspend,false,false,Alt-right associations + hate speech + transphobia,false
pedo.school,suspend,false,false,I mean + look at the domain name...,false
phreedom.tk,suspend,false,false,Free speech instance; lack of moderation/CoC,false
pkteerium.xyz,suspend,false,false,free speech + conspiracy theory + etc,false
pl.anon-kenkai.com,suspend,false,false,Racism + homophobia + antisemitism,false
pleroma.com,suspend,false,false,Harassment + federating with Gab + etc.,false
pleroma.elementality.org,suspend,false,false,Racism + fash + harassment,false
pleroma.kitsunemimi.club,suspend,false,false,Racism + harassment + transmisia,false
pleroma.mouse.services,suspend,false,false,Federates with Gab + Kiwifarms + etc.,false
pleroma.nobodyhasthe.biz,suspend,false,false,Transphobia,false
pleroma.runfox.tk,suspend,false,false,Racism + alt-right conspiracies + etc,false
pleroma.site,suspend,false,false,Federates with nazi instances,false
pleroma.skyshanty.xyz,suspend,false,false,racism,false
pleroma.soykaf.com,suspend,false,false,Federates with instances that violate our CoC/ToS such as Gab + etc.,false
pl.info.natehiggers.online,suspend,false,false,Racism,false
pl.natehiggers.online,suspend,false,false,Racism,false
pl.skyn3t.in,suspend,false,false,Harassment + transphobia,false
pl.slash.cl,suspend,false,false,Admin mocks pronouns + some weird political ideologies that conflate communism with fascism + federates with known nazi affiliated instances,false
pl.tkammer.de,suspend,false,false,Federates with spinster + transphobia,false
pl.zombiecats.run,suspend,false,false,Transphobic,false
pmth.us,suspend,false,false,harassment + federates with toxic instances,false
poa.st,suspend,false,false,Nazi content,false
posting.lolicon.rocks,suspend,false,false,loli,false
preteengirls.biz,suspend,false,false,pedophilia,false
prout.social,suspend,false,false,Racism + harassment,false
quitter.pw,suspend,false,false,alt-right,false
rage.lol,suspend,false,false,Free speech instance + members with nazi affiliation + members that advocate genocide and eugenics,false
rakket.app,suspend,false,false,Nazis + harassment,false
rape.lol,suspend,false,false,The URL is self-explanatory.,false
milker.cafe,suspend,false,false,Antisemitism,false
rapemeat.shop,suspend,false,false,pro-rape,false
rapemeat.solutions,suspend,false,false,Pro-rape,false
raplst.town,suspend,false,false,Glorifies sexual assault,false
rawr-xd.club,suspend,false,false,Loli,false
rcsocial.net,suspend,false,false,Homophobia + federating with Gab,false
ryona.agency,suspend,false,false,Transphobia,false
seal.cafe,suspend,false,false,Antisemitism + racism + free speech + harassment,false
sealion.club,suspend,false,false,'Free speech',false
shigusegubu.club,suspend,false,false,Harassment,false
shitpisscum.mooo.com,suspend,false,false,harassment + bigotry,false
shitpost.cloud,suspend,false,false,Racism + alt-right,false
shitposter.club,suspend,false,false,'Free speech',false
shitpost.poridge.club,suspend,false,false,Free speech,false
shortstackran.ch,suspend,false,false,racism + homophobia,false
shrine.moe,suspend,false,false,Loli + racism,false
skippers-bin.com,suspend,false,false,Lolicon + abusive behaviour,false
slothy.win,suspend,false,false,Soapbox instance + mocking pronouns,false
sneed.shop,suspend,false,false,Racism + antisemitism + fascism,false
sneed.social,suspend,false,false,Racism + antisemitism + fascism,false
social.freetalklive.com,suspend,false,false,Free speech + praising the KKK + antivax + etc.,false
social.getgle.org,suspend,false,false,homophobia,false
social.handholding.io,suspend,false,false,Transphobia + homophobia,false
social.hendrixgames.com,suspend,false,false,Conspiracy theories + alt-right adjacent rhetoric + etc,false
social.librem.one,suspend,false,false,Lack of moderation oversight for harmful ideologies,false
social.lovingexpressions.net,suspend,false,false,transphobia + nazism,false
social.nothingplanet.com,suspend,false,false,Federates with instances that violate our CoC/ToS + such as Gab + Kiwifarms + Spinster.xyz + etc.,false
social.pseudo-whiskey.bar,suspend,false,false,pedophilia,false
social.wideboys.org,suspend,false,false,Racism + homophobia + channer stuff,false
soc.mahodou.moe,suspend,false,false,Slurs,false
solagg.com,suspend,false,false,crypto spam,false
spinster.dev,suspend,false,false,Transphobia/TERFs,false
spinster.xyz,suspend,false,false,Transphobia/TERFs,false
springbo.cc,suspend,false,false,racism + free speech + transphobia,false
strelizia.net,suspend,false,false,Alternative instance to posting.lolicon.rocks + same admin,false
tastingtraffic.net,suspend,false,false,Queerphobia,false
taullo.social,suspend,false,false,hosting pedophilia,false
terrible.place,suspend,false,false,fascism + racism + harrassment,false
the9thcircle.club,suspend,false,false,Spam + friendly with freespeechextremist.xyz,false
the.hedgehoghunter.club,suspend,false,false,Trolling + abusive behaviour,false
theres.life,suspend,false,false,Bigotry + gab/pleroma adjacent,false
toot.canberrasocial.net,suspend,false,false,Racism + free speech instance,false
truthsocial.co.in,suspend,false,false,truthsocial,false
truthsocialpro.org,suspend,false,false,Trump instance,false
tucson.claims,suspend,false,false,"Conspiracy theories, federating with known nazi affiliated instances",false
vuju.com,suspend,false,false,Free speech,false
waha.desupost.soy,suspend,false,false,"Ableism, racism, transmisia",false
vipgirlfriend.xxx,silence,true,false,Un-CWed NSFW,false
sleepy.cafe,suspend,false,false,Transphobia,false
rdrama.cc,suspend,false,false,"Hate speech, ""free speech"", trolling",false
smartcraft.me,suspend,false,false,"ArtiBlock: alt fedi (poa.st,salastil.com)",false
wake.st,suspend,false,false,Paedophilia and lolicon apologist,false
wei.mentalswarf.com,suspend,false,false,nazi soapbox instance,false
whinge.town,suspend,false,false,Federates with the usual suspects,false
wired.socotrine.com,suspend,false,false,"Loli, runs with the same crowd as shitposter.club, freespeechextremist.com, neckbeard.xyz, etc.",false
wurm.host,suspend,false,false,"Suicide baiting, racism, slurs, trolling, harassment",false
xn--p1abe3d.xn--80asehdb,suspend,false,false,racism,false
yggdrasil.social,suspend,false,false,"TERF instance, homophobia",false
youjo.love,suspend,false,false,"pedophilia, holocaust denial, antivax",false
zetamu.club,suspend,false,false,pedophilia,false
quitter.im,silence,false,false,alt-right,false
artalley.social,silence,false,false,Silenced for accusations of hosting/defending underage sexual art,false
horny.enby.space,silence,false,false,Un-CWed NSFW,false
kinky.business,silence,false,false,Un-CWed NSFW,false
porntoot.com,silence,false,false,Un-CWed NSFW,false
stars.eroaward.com,silence,false,false,NSFW adverts,false
2.distsn.org,suspend,false,false,BlocklistsImport,false
434.earth,suspend,false,false,BlocklistsImport,false
7td.org,suspend,false,false,BlocklistsImport,false
80percent.social,suspend,false,false,BlocklistsImport,false
accela.online,suspend,false,false,BlocklistsImport,false
afterlife.masto.host,suspend,false,false,BlocklistsImport,false
albin.social,suspend,false,false,BlocklistsImport,false
anime.website,suspend,false,false,BlocklistsImport,false
archivefedifor.fundefinitely-not-archivefedifor.funfuck-man-i-just-want-like-one-friend.xyz,suspend,false,false,BlocklistsImport,false
aria.company,suspend,false,false,BlocklistsImport,false
beehub.org,suspend,false,false,BlocklistsImport,false
bigguys.club,suspend,false,false,BlocklistsImport,false
buckeye.social,suspend,false,false,BlocklistsImport,false
cawfee.club,suspend,false,false,BlocklistsImport,false
cock.fish,suspend,false,false,BlocklistsImport,false
daffodil-11.org,suspend,false,false,BlocklistsImport,false
disarray.nof.st,suspend,false,false,BlocklistsImport,false
exited.eu,suspend,false,false,BlocklistsImport,false
fedichive.tk,suspend,false,false,BlocklistsImport,false
feminism.lgbt,suspend,false,false,BlocklistsImport,false
freefedifollowers.ga,suspend,false,false,BlocklistsImport,false
freesoftwareextremist.com,suspend,false,false,BlocklistsImport,false
freezepeach.xyz,suspend,false,false,BlocklistsImport,false
friendica.eskimo.com,suspend,false,false,BlocklistsImport,false
functor.pro,suspend,false,false,BlocklistsImport,false
gab.com,suspend,false,false,BlocklistsImport,false
gab.ai,suspend,false,false,BlocklistsImport,false
gabfed.com,suspend,false,false,BlocklistsImport,false
gab.sleeck.eu,suspend,false,false,BlocklistsImport,false
gasthe.lgbt,suspend,false,false,BlocklistsImport,false
gendercritical.club,suspend,false,false,BlocklistsImport,false
gendercritical.space,suspend,false,false,BlocklistsImport,false
glittersluts.club,suspend,false,false,BlocklistsImport,false
glowers.club,suspend,false,false,BlocklistsImport,false
librem.one,suspend,false,false,Lack of moderation oversight for harmful ideologies,false
twtr.plus,silence,false,false,Twitter relay,false
beefyboys.win,suspend,false,false,"Hate speech, ""free speech"", trolling",false
honey.church,suspend,false,false,BlocklistsImport,false
ihatebeinga.live,suspend,false,false,BlocklistsImport,false
inex.rocks,suspend,false,false,BlocklistsImport,false
justicewarrior.social,suspend,false,false,BlocklistsImport,false
kys.moe,suspend,false,false,BlocklistsImport,false
leftlibertarian.club,suspend,false,false,BlocklistsImport,false
lets.saynoto.lgbt,suspend,false,false,BlocklistsImport,false
ligma.pro,suspend,false,false,BlocklistsImport,false
mastodon.starrevolution.org,suspend,false,false,BlocklistsImport,false
mentality.rip,suspend,false,false,BlocklistsImport,false
mobile.co,suspend,false,false,BlocklistsImport,false
mobile.tmediatech.io,suspend,false,false,BlocklistsImport,false
nomoresha.me,suspend,false,false,BlocklistsImport,false
oneway.masto.host,suspend,false,false,BlocklistsImport,false
ost.social,suspend,false,false,BlocklistsImport,false
pieville.net,suspend,false,false,BlocklistsImport,false
pl.765racing.com,suspend,false,false,BlocklistsImport,false
pleroma.comfy.moe,suspend,false,false,BlocklistsImport,false
pleroma.rareome.ga,suspend,false,false,BlocklistsImport,false
pl.lifeweb.cc,suspend,false,false,BlocklistsImport,false
pl.smuglo.li,suspend,false,false,BlocklistsImport,false
princess.cat,suspend,false,false,BlocklistsImport,false
quey.org,suspend,false,false,BlocklistsImport,false
rapefeminists.network,suspend,false,false,BlocklistsImport,false
rayn.bo,suspend,false,false,BlocklistsImport,false
rightmastodon.com,suspend,false,false,BlocklistsImport,false
robo.super-niche.club,suspend,false,false,BlocklistsImport,false
sinblr.com,suspend,false,false,BlocklistsImport,false
sneak.berlin,suspend,false,false,BlocklistsImport,false
soc.h4x.group,suspend,false,false,BlocklistsImport,false
social.culturewar.us,suspend,false,false,BlocklistsImport,false
social.foxfam.club,suspend,false,false,BlocklistsImport,false
social.librem.onelibrem.one,suspend,false,false,BlocklistsImport,false
social.quodverum.com,suspend,false,false,BlocklistsImport,false
