#domain,#severity,#reject_media,#reject_reports,#public_comment,#obfuscate
social.sphere.com.ai,suspend,false,false,BlocklistsImport,false
societal.co,suspend,false,false,BlocklistsImport,false
socnet.supes.com,suspend,false,false,BlocklistsImport,false
speakfree.world,suspend,false,false,BlocklistsImport,false
sylveon.club,suspend,false,false,BlocklistsImport,false
take.iteasy.club,suspend,false,false,BlocklistsImport,false
thebag.social,suspend,false,false,BlocklistsImport,false
thechad.zone,suspend,false,false,BlocklistsImport,false
traboone.com,suspend,false,false,BlocklistsImport,false
truthsocial.com,suspend,false,false,BlocklistsImport,false
twitter.activitypub.actor,suspend,false,false,BlocklistsImport,false
unsafe.space,suspend,false,false,BlocklistsImport,false
wagesofsinisdeath.com,suspend,false,false,BlocklistsImport,false
waifuappreciation.club,suspend,false,false,BlocklistsImport,false
weedis.life,suspend,false,false,BlocklistsImport,false
wetfish.space,suspend,false,false,BlocklistsImport,false
pl.valkyrie.world,suspend,false,false,No moderation policies,false
x0f.org,suspend,false,false,BlocklistsImport,false
xn--xn6r8h-xg0c.tk,suspend,false,false,BlocklistsImport,false
beta.birdsite.live,silence,false,false,Twitter relay,false
birdsite.live,silence,false,false,Twitter relay,false
dirtyhobby.xyz,silence,false,false,Un-CWed NSFW,false
gyutte.site,suspend,false,false,Lolicon,false
social.076.ne.jp,suspend,false,false,"Racism, lolicon",false
asimon.org,suspend,false,false,"Racism, lolicon",false
mast.ohbutt.com,suspend,true,true,Troll server,false
social.snopyta.org,suspend,false,false,"Lolicon, far-right content",false
varishangout.net,suspend,false,false,"Lolicon, racism",false
miss.mouse.services,suspend,false,false,"Federated with known hate and troll instances, violent imagery with no CW, etc",false
pl.comfysnug.space,suspend,true,false,"No moderation policies beyond ""no cp"", boosts content from known-bad instances",false
hidamari.apartments,suspend,false,false,openly promoting violent ideologies,false
eientei.org,suspend,false,false,"non-moderated homophobia, transphobia & anti-semitism",false
childpawn.shop,suspend,false,false,paedophilia,false
activitypub-troll.cf,suspend,false,false,Public server trolling farm,false
*.acitivitypub-troll.cf,suspend,false,false,Public server trolling farm,false
*.misskey-forkbomb.cf,suspend,false,false,Public server trolling farm,false
misskey-forkbomb.cf,suspend,false,false,Public server trolling farm,false
*.repl.co,suspend,false,false,Public server trolling farm,false
repl.co,suspend,false,false,Public server trolling farm,false
onevery.ignorelist.com,suspend,false,false,Spam,false
fandom.community,silence,true,false,"Lolicon, insufficient moderation of NSFW media",false
social.4f9e1738.ignorelist.com,suspend,true,true,Recursion attack,false
*.ignorelist.com,suspend,false,false,Recursion attack,false
nobodyhasthe.biz,suspend,false,false,"",false
lolicon.rocks,suspend,false,false,"racism, national socialism, AntiSemitism, conspiracism, lolicon, TransMisia",false
hentai.baby,suspend,false,false,lolicon,false
freak.university,suspend,false,false,pedophilia,false
eatthebugs.social,suspend,false,false,"antisemitism, harassment",false
clubcyberia.co,suspend,false,false,"HomoMisia, racism",false
tkammer.de,suspend,false,false,Transmisia,false
soykaf.com,suspend,false,false,HomoMisia,false
kitsunemimi.club,suspend,false,false,"racism, harassment, TransMisia",false
lovingexpressions.net,suspend,false,false,national socialism,false
handholding.io,suspend,false,false,"TransMisia, racism",false
helladoge.com,suspend,false,false,"cryptoscam, spam",false
fluf.club,suspend,false,false,"ableism, TransMisia",false
076.ne.jp,suspend,false,false,"national socialism, racism, TransMisia lolicon",false
rojogato.com,suspend,false,false,"Racism, TransMisia, ableism",false
urspringer.de,suspend,false,false,conspiracism,false
freetalklive.com,suspend,false,false,"ancap, libertarianism",false
gorf.pub,suspend,false,false,"TransMisia, HomoMisia, AntiSemitism",false
narrativerry.xyz,suspend,false,false,"HomoMisia, glorifying killings",false
anon-kenkai.com,suspend,false,false,"national socialism, lolicon, racism, HomoMisia",false
freethinkers.lgbt,suspend,false,false,harassment,false
lain.com,suspend,false,false,"HomoMisia, ableism",false
quanta.wiki,suspend,false,false,"qanon conspiracism, trumpism",false
teci.world,suspend,false,false,"qanon conspiracism, trumpism",false
trumpislovetrumpis.life,suspend,false,false,"facism, racism",false
skyshanty.xyz,suspend,false,false,HomoMisia,false
privex.social,suspend,false,false,"fashism, harassment",false
wiki-tube.de,suspend,false,false,"AntiSemitism, conspiracism, covid denial",false
wolfgirl.bar,suspend,false,false,"Racism, antisemitism",false
animalliberation.social,suspend,false,false,"racism, AntiSemitism, TransMisia",false
slash.cl,suspend,false,false,national socialism,false
poster.place,suspend,false,false,"racism, queermisia",false
darknight-coffee.org,suspend,false,false,TransMisia,false
bestgore.fun,suspend,false,false,"gore, making fun of executions",false
kenfm.de,suspend,false,false,"racism, conspiracism, covid denial",false
kcl.academy,suspend,false,false,(covid/ukraine) conspiracy theories,false
etiketi.de,suspend,false,false,conspiracism,false
pube.tk,suspend,false,false,HomoMisia,false
valkyrie.world,suspend,false,false,"harassment, QueerMisia, ableism",false
lolison.network,suspend,false,false,"lolicon, child porn",false
genderheretics.xyz,suspend,false,false,"TransMisia, making fun of suicide",false
sonichu.com,suspend,false,false,"harassment, racism",false
anti-degeneracy.club,suspend,false,false,TransMisia,false
fbxl.net,suspend,false,false,admin wish,false
alive.bar,suspend,false,false,national socialism,false
pleroma.foxfam.club,suspend,false,false,Alt of banned instance,false
refusal.biz,suspend,false,false,"Racism, antisemitism",false
weeaboo.space,suspend,false,false,"Federates with known hate and lolicon instances, ""Free Speech""",false
udongein.xyz,silence,false,false,Insufficient moderation policies; doesn't defederate hate instances,false
mastinator.com,suspend,false,false,Public indexing and copying of follower-only posts,false
fediverse.dotnet00.dev,noop,true,false,"",false
squid.kids,suspend,false,false,Antisemitism ,false
affiliates.social,suspend,false,false,Dedicated affiliate marketing server,false
f.haeder.net,suspend,false,false,Transphobia,false
zztails.gay,suspend,false,false,"""Free speech"" instance, Racism",false
social.shrimpcam.pw,suspend,false,false,Block circumvention,false
rodent.life,suspend,false,false,lolicon,false
gentoo.live,suspend,false,false,"CSAM, hate speech",false
skinheads.network,suspend,false,false,"CSAM, hate speech",false
shota.house,suspend,false,false,"",false
minidisc.tokyo,suspend,false,false,"Harassment, ""free speech""",true
plague.ee,suspend,false,false,Alt of banned instance,false
boks.moe,suspend,false,false,"Hate speech, ""free speech"", trolling",false
shrimpposter.club,suspend,false,false,Alt of banned instance,false
breastmilk.club,suspend,false,false,"Hate speech, ""free speech"", trolling",false
bubbletea.dev,suspend,false,false,Alt-right,false
brighteon.social,suspend,false,false,Disinformation,false
13bells.com,suspend,false,false,"",false
1611.social,suspend,false,false,"",false
aethy.com,suspend,false,false,"",false
banepo.st,suspend,false,false,"",false
cyberstorm.one,suspend,false,false,"",false
ignorelist.com,suspend,false,false,"",false
mastertibbles.co.uk,suspend,false,false,"",false
obo.sh,suspend,false,false,"",false
scots.network,suspend,false,false,"",false
4aem.com,suspend,false,false,"",false
5dollah.click,suspend,false,false,"",false
8777.ch,suspend,false,false,"",false
activitypub-proxy.cf,suspend,false,false,"",false
addy.gg,suspend,false,false,"",false
alteregocreations.com,suspend,false,false,"",false
anemoneya.me,suspend,false,false,"",false
angrytoday.com,suspend,false,false,"",false
annihilation.social,suspend,false,false,"",false
badly.co,suspend,false,false,"",false
cybercriminal.eu,suspend,false,false,Fediblock spam/abuse,false
misskey.io,noop,true,false,Insufficient moderation capacity,false
owncast.cdrom.tokyo,suspend,false,false,Lolicon,false
beepboop.ga,suspend,false,false,"",false
bgzashtita.es,suspend,false,false,"",false
bibly.com,suspend,false,false,"",false
bitcoinlizard.net,suspend,false,false,"",false
bitcointv.com,suspend,false,false,"",false
brainsoap.net,suspend,false,false,"",false
cachapa.xyz,suspend,false,false,"",false
calobar.club,suspend,false,false,"",false
campduffel.social,suspend,false,false,"",false
catgirl.life,suspend,false,false,"",false
ckpg.space,suspend,false,false,"",false
collapsitarian.io,suspend,false,false,"",false
comfyboy.club,suspend,false,false,"",false
contrapointsfan.club,suspend,false,false,"",false
cryptotooter.com,suspend,false,false,"",false
danksquad.org,suspend,false,false,"",false
daspr.io,suspend,false,false,"",false
decept.org,suspend,false,false,"",false
dembased.xyz,suspend,false,false,"",false
desupost.soy,suspend,false,false,"",false
dev-wiki.de,suspend,false,false,"",false
dingdash.com,suspend,false,false,"",false
dissident.business,suspend,false,false,"",false
dixies.land,suspend,false,false,"",false
dobbs.town,suspend,false,false,"",false
dtzbts.xyz,suspend,false,false,"",false
elementality.org,suspend,false,false,"",false
endtimebelievers.com,suspend,false,false,"",false
epenguin.com,suspend,false,false,"",false
fedposters.club,suspend,false,false,"",false
feral.cafe,suspend,false,false,"",false
fightthis.net,suspend,false,false,"",false
firedragonstudios.com,suspend,false,false,"",false
firefaithfellowship.com,suspend,false,false,"",false
foxfam.club,suspend,false,false,"",false
freedomstrike.net,suspend,false,false,"",false
freedomstrike.org,suspend,false,false,"",false
frennet.xyz,suspend,false,false,"",false
gamers.exposed,suspend,false,false,"",false
gangstalking.services,suspend,false,false,"",false
glee.li,suspend,false,false,"",false
guizzyordi.info,suspend,false,false,"",false
haeder.net,suspend,false,false,"",false
hedgehoghunter.club,suspend,false,false,"",false
hendrixgames.com,suspend,false,false,"",false
hermitmountain.top,suspend,false,false,"",false
homd.xyz,suspend,false,false,"",false
hornyjail.pro,suspend,false,false,"",false
imirhil.fr,suspend,false,false,"",false
inferencium.net,suspend,false,false,"",false
intkos.link,suspend,false,false,"",false
inumbra.xyz,suspend,false,false,"",false
ironbug.org,suspend,false,false,"",false
justbros.xyz,suspend,false,false,"",false
kabuki.club,suspend,false,false,"",false
kawa-kun.com,suspend,false,false,"",false
kawen.space,suspend,false,false,"",false
kenhbit.com,suspend,false,false,"",false
kompost.cz,suspend,false,false,"",false
kyaruc.moe,suspend,false,false,"",false
lain.gay,suspend,false,false,"",false
leftychan.net,suspend,false,false,"",false
letsalllovela.in,suspend,false,false,"",false
librenet.co.za,suspend,false,false,"",false
lizards.live,suspend,false,false,"",false
logografos.com,suspend,false,false,"",false
lucasvl.nl,suspend,false,false,"",false
mahodou.moe,suspend,false,false,"",false
maladaptive.art,suspend,false,false,"",false
masthead.social,suspend,false,false,"",false
meld.de,suspend,false,false,"",false
meme.moe,suspend,false,false,"",false
merovingian.club,suspend,false,false,"",false
midwaytrades.com,suspend,false,false,"",false
miku-enthusiast.club,suspend,false,false,"",false
mirr0r.city,suspend,false,false,"",false
mitra.social,suspend,false,false,"",false
moa.st,suspend,false,false,"",false
morale.ch,suspend,false,false,"",false
mostr.pub,suspend,false,false,"",false
mouse.services,suspend,false,false,"",false
mrhands.horse,suspend,false,false,"",false
nalocal519.social,suspend,false,false,"",false
natehiggers.online,suspend,false,false,"",false
nationaljustice.social,suspend,false,false,"",false
needs.vodka,suspend,false,false,"",false
nekocave.xyz,suspend,false,false,"",false
nightshift.social,suspend,false,false,"",false
noagendasocial.nl,suspend,false,false,"",false
noagendatube.com,suspend,false,false,"",false
normie.cafe,suspend,false,false,"",false
novoa.nagoya,suspend,false,false,"",false
nukem.biz,suspend,false,false,"",false
nya.gay,suspend,false,false,"",false
otakufarms.com,suspend,false,false,"",false
oti.st,suspend,false,false,"",false
pawlicker.com,suspend,false,false,"",false
pengi-san.moe,suspend,false,false,"",false
piazza.today,suspend,false,false,"",false
pibvt.net,suspend,false,false,"",false
pisskey.io,suspend,false,false,"",false
pizzaf.art,suspend,false,false,"",false
poast.org,suspend,false,false,"",false
poast.tv,suspend,false,false,"",false
pone.social,suspend,false,false,"",false
pooper.social,suspend,false,false,"",false
poridge.club,suspend,false,false,"",false
posix.gay,suspend,false,false,"",false
poweredbycocaine.com,suspend,false,false,"",false
prospeech.space,suspend,false,false,"",false
pseudo-whiskey.bar,suspend,false,false,"",false
psion.co,suspend,false,false,"",false
quodverum.com,suspend,false,false,"",false
r18.social,suspend,false,false,"",false
rebelbase.site,suspend,false,false,"",false
refusal.llc,suspend,false,false,"",false
republic.red,suspend,false,false,"",false
rot.gives,suspend,false,false,"",false
satoshishop.de,suspend,false,false,"",false
saynoto.lgbt,suspend,false,false,"",false
schwartzwelt.xyz,suspend,false,false,"",false
shadowsocial.org,suspend,false,false,"",false
sharivegas.com,suspend,false,false,"",false
sheep.network,suspend,false,false,"",false
shota.social,suspend,false,false,"",false
shrimpcam.pw,suspend,false,false,"",false
silliness.observer,suspend,false,false,"",false
skinheads.eu,suspend,false,false,"",false
skinheads.io,suspend,false,false,"",false
skinheads.social,suspend,false,false,"",false
skinheads.uk,suspend,false,false,"",false
skinnyver.se,suspend,false,false,"",false
smuglo.li,suspend,false,false,"",false
starnix.network,suspend,false,false,"",false
stereophonic.space,suspend,false,false,"",false
syspxl.xyz,suspend,false,false,"",false
takesama.com,suspend,false,false,"",false
theapex.social,suspend,false,false,"",false
thechimp.zone,suspend,false,false,"",false
thepostearthdestination.com,suspend,false,false,"",false
thisisjoes.site,suspend,false,false,"",false
tnd.lol,suspend,false,false,"",false
troll.cafe,suspend,false,false,"",false
tyil.nl,suspend,false,false,"",false
ua-fediland.de,suspend,false,false,"",false
unperson.us,suspend,false,false,"",false
urchan.org,suspend,false,false,"",false
ursal.zone,suspend,false,false,"",false
vfpmedia.com,suspend,false,false,"",false
vladtepesblog.com,suspend,false,false,"",false
vrij.social,suspend,false,false,"",false
whinge.house,suspend,false,false,"",false
wideboys.org,suspend,false,false,"",false
workers.dev,suspend,false,false,"",false
wxw.moe,suspend,false,false,"",false
xenofem.me,suspend,false,false,"",false
xhais.love,suspend,false,false,"",false
botsin.space,silence,false,false,Too many bots on the public timelines :(,true
roysbeer.place,suspend,false,false,Troll farm,false
mapsupport.de,suspend,false,false,Paedophilia,false
clew.lol,suspend,false,false,Unmoderated racism,false
ortodogs.info,suspend,false,false,"Unmoderated racism/slurs, ""free speech""",false
seikora.one,silence,true,false,Uncensored and unattributed pornography,false
ai.wiki,suspend,false,false,Bot farm,false
artalley.masto.host,suspend,false,false,ArtiBlock: dni (baraag.net),false
curiouscabbit.social,suspend,false,false,"ArtiBlock: dni (baraag.net,aethy.com)",false
misskey.heonian.org,suspend,false,false,"ArtiBlock: dni (rot.gives,breastmilk.club,disqordia.space,outerkosm.us,shota.house)",false
akko.quad.moe,suspend,false,false,"ArtiBlock: alt-fedi (shigusegubu.club,sleepy.cafe,suya.place,miniwa.moe,cawfee.club,kotobank.ch)",false
masto.quad.moe,suspend,false,false,"ArtiBlock: alt-fedi (shigusegubu.club,sleepy.cafe,suya.place,miniwa.moe,cawfee.club,kotobank.ch)",false
social.troplo.com,suspend,false,false,"ArtiBlock: alt-fedi (rdrama.cc,starnix.network,shitposter.club,refusal.biz,plus.st,asbestos.cafe,hidamari.apartments,leafposter.club,lizards.live)",false
troplo.com,suspend,false,false,"ArtiBlock: alt-fedi (rdrama.cc,starnix.network,shitposter.club,refusal.biz,plus.st,asbestos.cafe,hidamari.apartments,leafposter.club,lizards.live)",false
worm.pink,suspend,false,false,Fediblock spam/abuse,false
asbestos.cafe,suspend,false,false,Fediblock spam/abuse,false
disqordia.space,suspend,false,false,Racism masquerading as trans defenders,false
blog.mapsupport.club,suspend,false,false,Paedophilia,false
xarxamontgri.masto.host,suspend,false,false,Lack of moderation,false
ani.9tail.net,suspend,false,false,ArtiBlock: alt-fedi,false
tw.9tail.net,suspend,false,false,ArtiBlock: alt-fedi,false
social.9tail.net,suspend,false,false,ArtiBlock: alt-fedi,false
bbs.9tail.net,suspend,false,false,ArtiBlock: alt-fedi,false
pleroma.lyricaltokarev.fun,suspend,false,false,"ArtiBlock: alt-fedi (poa.st,blob.cat,shitposter.club,asbestos.cafe,bae.st,sleepy.cafe)",false
reisen.church,suspend,false,false,"ArtiBlock: alt fedi (shitposter.club,borg.social,getimiskon.xyz,udongein.xyz,waifuism.life,silliness.observer,ebin.club,miniwa.moe,asbestos.cafe,rot.gives)",false
shotatube.xyz,suspend,false,false,ArtiBlock: alt-fedi,false
social.kemonololi.com,suspend,false,false,"ArtiBlock: dni (aethy.com,baraag.net)",false
mapsupport.club,suspend,false,false,"",false
9tail.net,suspend,false,false,"",false
messurrection.com,suspend,false,false,"",false
outerkosm.us,suspend,true,true,Tolerant of hate instances,false
tsukihi.me,silence,false,false,Misinformation and harassment,false
loli.exposed,suspend,false,false,CSAM,false
lewdieheaven.com,suspend,false,false,Paedophilia,false
press.coop,silence,false,false,Very spammy; limited to keep the federated timeline readable,false
techhub.social,silence,false,false,Temporary limit during spam campaign,false
fediverse.bbad.com,suspend,false,false,"Hate speech, ""free speech"", trolling",false
headpat.cafe,suspend,false,false,Lolicon,false
den.raccoon.quest,suspend,false,false,Lolicon,false
threads.net,suspend,false,false,Meta; suspended preemptively based on public statements regarding data usage,false
super-gay.co,silence,false,false,Unmoderated extreme sexual language without CWs; more power to 'em but that's not what this community wants in the feeds,false
plasmatrap.com,suspend,false,false,Harassment,false
comp.lain.la,suspend,false,false,"Harassment, channers",false
body.social,noop,true,false,Nudist community that does not require images marked sensitive,false
h5q.net,suspend,false,false,CSAM,false
thoughtful.social,suspend,false,false,Spam,false
sm.shaw.app,suspend,false,false,Transmisia,false
stop.voring.me,silence,false,false,"Poorly moderated, federates with known baddies",false
firefish.social,silence,false,false,"Official instance for Firefish project, the lead dev of which has engaged in harassment and associates with known bad actors",false
usualsuspects.lol,suspend,false,false,FediNuke,false
retardedniggers.forsale,suspend,false,false,FediNuke,false
plagu.ee,suspend,false,false,FediNuke,false
onionfarms.org,suspend,false,false,FediNuke,false
norwoodzero.net,suspend,false,false,FediNuke,false
marsey.moe,suspend,false,false,FediNuke,false
makemysarcophagus.com,suspend,false,false,FediNuke,false
decayable.ink,suspend,false,false,FediNuke,false
boymoder.biz,suspend,false,false,FediNuke,false
bassam.social,suspend,false,false,FediNuke,false
adachi.party,suspend,false,false,FediNuke,false
